Brand,Name,Color,RAM,Storage,Battery(mAh),Camera,Price(in Rs),Original Price(in Rs),Discount,Rating
OnePlus,OnePlus N6 5G,Fresh Mint,4.0,128.0,8000.0, 128 GB ROM17.27 cm (6.8 inch) Display50MP Rear Camera,22517.0,30999.0,27.36,4.1
Samsung,Samsung Galaxy F07,Green,4.0,64.0,5000.0, 8MP Front Camera,11999.0,,,4.3
realme,realme P4 Lite,Beach Gold,4.0,64.0,6300.0, 64 GB ROM17.14 cm (6.75 inch) HD+ Display13MP Rear Camera,12999.0,24999.0,48.0,3.9
realme,realme P4 Lite,Sea Blue,4.0,128.0,6300.0, 128 GB ROM17.14 cm (6.75 inch) HD+ Display13MP Rear Camera,13999.0,27999.0,50.0,3.9
Ai+,Ai+ Pulse 2,Blue,4.0,128.0,6000.0, Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera,11999.0,15499.0,22.58,4.2
Ai+,Ai+ Pulse 2,Green,4.0,64.0,6000.0, Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera,10999.0,,,4.2
Ai+,Ai+ Pulse 2,Purple,4.0,64.0,6000.0, Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera,10999.0,,,4.2
MOTOROLA,MOTOROLA g37 power,PANTONE Impenetrable,4.0,64.0,7000.0, Expandable Upto 1 TB16.92 cm (6.66 inch) HD+ Display50MP Rear Camera,17999.0,26499.0,32.08,4.2
MOTOROLA,MOTOROLA g06 power,Pantone tapestry,4.0,64.0,7000.0, Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera,15999.0,19999.0,20.0,4.2
realme,realme P4 Lite 5G,Mosaic Green,4.0,64.0,7000.0, 64 GB ROM17.27 cm (6.8 inches) HD+ Display13MP Rear Camera,15999.0,28999.0,44.83,4.2
Samsung,Samsung M06 5G,Sage Green,4.0,128.0,5000.0, 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera,14905.0,16999.0,12.32,4.1
